author_id,article_id,name,leading_author,first_author,career_stage,expertise_level,author_key
262,1919,Schneider DS,True,False,Senior PI,Experienced,schneider ds
263,1716,Ayres JS,False,True,PhD,Experienced,ayres js
265,1931,Levitin A,False,True,PhD,Experienced,levitin a
266,1931,Whiteway M,True,False,Senior PI,Newcomer,whiteway m
267,1569,Mabery EM,False,True,Post-doc,Experienced,mabery em
268,1569,Schneider DS,True,False,Senior PI,Experienced,schneider ds
269,1993,Dionne MS,False,True,Post-doc,Experienced,dionne ms
260,1763,Schneider DS,False,False,Senior PI,Experienced,schneider ds
252,2730,Shahabuddin M,False,False,Junior PI,Newcomer,shahabuddin m
271,2065,Leclerc V,False,True,Post-doc,Experienced,leclerc v
272,2065,Reichhart JM,True,False,Senior PI,Experienced,reichhart jm
273,2777,Ekengren S,False,True,PhD,Experienced,ekengren s
274,2777,Hultmark D,True,False,Senior PI,Experienced,hultmark d
275,2698,Stöven S,False,True,PhD,Experienced,stoven s
276,2698,Hultmark D,True,False,Senior PI,Experienced,hultmark d
277,2356,Kurucz E,False,True,Post-doc,Experienced,kurucz e
278,2356,Hultmark D,True,False,Senior PI,Experienced,hultmark d
279,1522,Valanne S,False,True,PhD,Experienced,valanne s
280,1522,Rämet M,True,False,Senior PI,Experienced,ramet m
281,2682,Hedengren M,False,True,PhD,Experienced,hedengren m
282,2682,Hultmark D,True,False,Senior PI,Experienced,hultmark d
283,3445,Daffre S,False,True,PhD,Experienced,daffre s
284,3445,Hultmark D,True,False,Senior PI,Experienced,hultmark d
285,2946,Dushay MS,False,True,Post-doc,Experienced,dushay ms
286,2946,Hultmark D,True,False,Senior PI,Experienced,hultmark d
287,3005,Rosetto M,False,True,Post-doc,Experienced,rosetto m
288,3005,Hultmark D,True,False,Senior PI,Experienced,hultmark d
289,3097,Kylsten P,False,True,PhD,Experienced,kylsten p
290,3097,Hultmark D,True,False,Senior PI,Experienced,hultmark d
291,2604,Ekengren S,False,True,PhD,Experienced,ekengren s
292,2604,Hultmark D,True,False,Senior PI,Experienced,hultmark d
293,3164,Kylsten P,False,True,PhD,Experienced,kylsten p
294,3164,Hultmark D,True,False,Junior PI,Experienced,hultmark d
295,1959,Kurucz E,False,True,Post-doc,Experienced,kurucz e
297,3460,Márkus R,False,True,PhD,Newcomer,markus r
298,3460,Andó I,True,False,Senior PI,Experienced,ando i
299,2957,Theopold U,False,True,Post-doc,Experienced,theopold u
300,2957,Hultmark D,True,False,Senior PI,Experienced,hultmark d
303,3458,Hultmark D,True,True,Senior PI,Experienced,hultmark d
304,3064,Engström Y,False,True,Junior PI,Experienced,engstrom y
306,3008,Asling B,False,True,PhD,Experienced,asling b
308,1801,Kleino A,False,True,PhD,Experienced,kleino a
310,1999,Rus F,False,True,PhD,Experienced,rus f
311,1999,Andó I,True,False,Senior PI,Experienced,ando i
312,2626,Ekengren S,False,True,PhD,Experienced,ekengren s
313,2626,Hultmark D,True,False,Senior PI,Experienced,hultmark d
314,1662,Wiklund ML,False,True,PhD,Experienced,wiklund ml
315,1662,Stöven S,True,False,Junior PI,Experienced,stoven s
316,2920,Tryselius Y,False,True,PhD,Experienced,tryselius y
317,2920,Hultmark D,True,False,Senior PI,Experienced,hultmark d
318,2576,Lindmark H,False,True,PhD,Experienced,lindmark h
319,2576,Söderhäll K,True,False,Senior PI,Experienced,soderhall k
320,3140,Samakovlis C,False,True,PhD,Experienced,samakovlis c
321,3140,Hultmark D,True,False,Senior PI,Experienced,hultmark d
322,2684,Werner T,False,True,PhD,Experienced,werner t
323,2684,Hultmark D,True,False,Senior PI,Experienced,hultmark d
324,3103,Tryselius Y,False,True,PhD,Experienced,tryselius y
326,1953,Williams MJ,False,True,Post-doc,Experienced,williams mj
328,3461,Williams MJ,False,True,Post-doc,Experienced,williams mj
329,3461,Hultmark D,True,False,Senior PI,Experienced,hultmark d
330,2561,Rämet M,False,True,Post-doc,Experienced,ramet m
331,2561,Manfruelli P,True,False,Junior PI,Experienced,manfruelli p
332,2519,Rämet M,False,True,Post-doc,Newcomer,ramet m
333,2519,Ezekowitz RA,True,False,Senior PI,Newcomer,ezekowitz ra
334,2040,Ulvila J,False,True,Post-doc,Experienced,ulvila j
335,2040,Rämet M,True,False,Senior PI,Experienced,ramet m
336,2582,Rämet M,False,True,Post-doc,Newcomer,ramet m
337,2582,Ezekowitz RA,True,False,Senior PI,Newcomer,ezekowitz ra
338,2311,Pearson AM,False,True,Post-doc,Experienced,pearson am
302,2778,Hultmark D,True,False,Senior PI,Experienced,hultmark d
301,2778,Hedengren M,False,True,PhD,Experienced,hedengren m
220,2276,Gobert V,False,True,PhD,Experienced,gobert v
270,1993,Schneider DS,True,False,Senior PI,Experienced,schneider ds
256,2731,Schneider D,True,False,Junior PI,Experienced,schneider d
325,3103,Hultmark D,True,False,Senior PI,Experienced,hultmark d
327,1953,Hultmark D,True,False,Senior PI,Experienced,hultmark d
307,3008,Hultmark D,True,False,Senior PI,Experienced,hultmark d
305,3064,Faye I,True,False,Senior PI,Experienced,faye i
264,1716,Schneider DS,True,False,Senior PI,Experienced,schneider ds
296,1959,Andó I,True,False,Senior PI,Experienced,ando i
251,2730,Schneider DS,True,True,Junior PI,Newcomer,schneider ds
